Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,..,..,3854235264.37171,4539500884.0479,5220823684.66085,6226199249.32211,6971379033.26327,9715761649.79443,10249767311.213,12154835707.8987,15633856787.0425,18190410820.6235,20203572959.5023,20564485419.1684,20550582746.8448,19998156214.3988,18019558181.9602,18896352021.94,18418848299.5825,18904490262.913,20143442150.971,14786861638.4535
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,3480355258.04122,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.864,11926922828.9911,12890764531.3284,12319830437.3467,12776220507.0162,13228147516.1168,11386850129.8411,11861199830.8396,13019689336.6919,15156432309.8977,15401830754.0773,15131866270.5936,18255787479.1846
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,54790392746.1939,54744712814.8676,56760355865.0082,67863828412.6882,85332581188.6107,103198223709.439,117027307540.89,134977082623.78,171000699876.747,137211035770.034,161207270185.25,200013052199.2,209058991952.125,209755003250.664,213810024944.464,165979279263.174,160034163871.455,170097014589.134,174910878623.049,171767403748.19,145009181490.62,163044443983.759
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,..,..,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,716000000,709000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30038,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3155065487.51819,2891022272.98687,3330281523.53915
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,9129594818.60749,8936063723.20121,15285594828.418,17812704825.1957,23552047248.4301,36970918699.2523,52381006892.038,65266452081.386,88538610805.3214,70307166934.3311,81699526880.8079,109436566876.419,124998210652.243,133401582620.494,137244439121.374,87219300384.5072,49840491178.1518,68972769395.6274,77792944471.9494,69309110145.7687,53619073505.1377,67404287260.3199
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605944444.44444,1687533333.33333,1370281481.48148,1471125925.92593
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.155,524819742918.669,447754609218.678,385540224628.292,487227339102.67
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641697523.2966,13861409968.835
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,1873184357.5419,1896648044.69274,1962011173.18436,2044134078.21229,2254748603.35196,2359776536.31285,2469832402.23464,2677653631.28492,2843016759.77654,2553631284.9162,2453631284.9162,2637988826.81564,2615083798.88268,2727932960.89385,2791061452.51397,2963128491.62011,2983798882.68156,3092178770.94972,3202234636.87151,3368970253.05286,2610038937.56355,3126019399.06492
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,415851284305.721,379358162498.658,395580786940.142,467497961560.862,614326362213.686,695328522026.763,747906558849.955,854427259166.209,1055642793196.06,928626859078.192,1148610059015.24,1398405797101.45,1546892142709.84,1576380424746.08,1467545212521.8,1350615691821.28,1206535157956.03,1326516328531.56,1428288504767.07,1392227864397.08,1326901059123.21,1552667363236.06
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,197289625479.906,197508773215.323,214394866675.24,262273631180.054,301457562038.541,316092273276.015,336280064332.411,389185571506.052,432051935642.945,401758735822.211,392275107258.667,431685217367.511,409401816050.531,430190979705.962,442584815286.034,381971148530.543,395837353031.499,417261151844.977,454991174096.102,444621176100.548,435225238000.437,480368403893.364
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,5272798390.70183,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42693000000,54622176470.5882
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11861900000,11834600000,12357600000,12755800000,13192800000,9699500000,11208600000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37802005319.1489,38653318085.1064,34723357446.8085,38868663031.9149
GDP (current US$),NY.GDP.MKTP.CD,Bangladesh,BGD,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,265236247989.155,293754646182.389,321379023557.462,351238474244.667,373902134700.41,416264942893.326
GDP (current US$),NY.GDP.MKTP.CD,Barbados,BRB,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217450800,4674007450,4784925100,4465657300,4529928300,4657699450,4610096000,4677248300,4696344350,4724691200,4832811750,4981588900,5097283200,5324250000,4671800000,4843800000
GDP (current US$),NY.GDP.MKTP.CD,Belarus,BLR,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,61371126414.1663,68205380706.6609
GDP (current US$),NY.GDP.MKTP.CD,Belgium,BEL,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,517328087920.078,483254171097.812,481420882905.001,523330354138.133,496152879924.727,521791015247.06,535390200131.018,462335574841.484,476062757356.927,502764720556.354,543299066998.902,535830876745.097,525211810652.608,594104177539.525
GDP (current US$),NY.GDP.MKTP.CD,Belize,BLZ,1116000000,1163000000,1233000000,1298000000,1389500000,1461500000,1581000000,1696000000,1729000000,1680500000,1738500000,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000
GDP (current US$),NY.GDP.MKTP.CD,Benin,BEN,3519991326.48464,3666222600.09828,4194342849.46574,5349258334.31914,6190270756.13743,6567654493.50831,7034111651.4964,8169048690.05254,9787735426.00897,9738626993.27696,9535345011.48797,10693321370.036,11141358105.9853,12517845127.6775,13284527850.2632,11388160997.1089,11821065852.1271,12701655845.9612,14262408079.7014,14391686309.033,15651545208.8783,17144918952.4682
GDP (current US$),NY.GDP.MKTP.CD,Bermuda,BMU,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7286607000
GDP (current US$),NY.GDP.MKTP.CD,Bhutan,BTN,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657069.05537,2325184481.4277,2539552984.67797
GDP (current US$),NY.GDP.MKTP.CD,Bolivia,BOL,8397912525.26886,8141537877.06791,7905485146.44351,8082364816.16879,8773451751.5121,9549077918.69677,11451869202.1569,13120183207.6625,16674324661.8681,17339992193.7322,19649631308.1648,23963033429.4364,27084497481.9103,30659338885.6729,32996188017.3661,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36629843805.0216,40408208528.1599
GDP (current US$),NY.GDP.MKTP.CD,Bosnia and Herzegovina,BIH,5567405605.27555,5800774707.17423,6728771318.57555,8498560877.09175,10157553968.254,11222953328.6704,12864610865.2428,15778767389.7831,19112739364.8892,17613836494.0692,17176781065.8902,18644723860.9709,17226849165.6813,18178503835.4491,18558343304.8433,16211541593.4222,16913330976.7547,18080118186.009,20183510863.0054,20202479537.5193,19950471170.6465,23365361635.2201
GDP (current US$),NY.GDP.MKTP.CD,Botswana,BWA,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,10730763098.9175,10118518637.0561,12637319933.4668,15110716533.5907,13907510005.8897,14271752527.1166,15470059201.6577,13530738157.7648,15082579073.8634,16105182316.3307,17031901441.1765,16695928792.5697,14930072458.5814,17614791265.6824
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,655448188237.371,559991261406.197,509788814956.855,558229210852.965,669293772178.729,891630177209.99,1107640289661.2,1397084349956.35,1695824565928.67,1667019783635.09,2208871646202.82,2616201578192.25,2465188674415.03,2472806919901.67,2455993625159.37,1802214373741.32,1795700168991.49,2063507864886.88,1916947014067.55,1873274432754.47,1448559976218.19,1608981456325.08
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,6001153306.2645,5601090584.36122,5843329107.56171,6557333084.60567,7872333215.00414,9531402847.87311,11470703002.0769,12247694247.2298,14393099068.5859,10732366286.2643,13707370737.0737,18525319977.7407,19047940300.8963,18093829923.2737,17098342541.4365,12930394937.8137,11400854267.7188,12128104859.1498,13567351175.0315,13469422958.5105,12005825759.223,14006569575.68
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,13245834314.5104,14183497963.1071,16402846413.0958,21144982397.4144,26157892832.2011,29869284035.3218,34379808888.6039,44432811756.4731,54481376860.3695,52023505367.1714,50682061053.2016,57678241023.818,54300857424.4415,55810138436.4821,57082011260.3446,50781996712.7635,53953897624.4344,59199447421.4924,66363537115.2686,68915875214.6537,70240275010.1964,84056312734.3089
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,2968369991.46729,3190371050.45524,3622350203.94595,4740768355.22974,5451688868.42974,6146352742.03313,6547420133.69942,7625723123.54939,9451436358.96861,9450697335.53565,10109618964.2848,12080296644.0643,12561016091.4673,13444301139.1384,13943016923.9017,11832159275.603,12833363370.174,14106956830.0857,15890065019.7634,16178162030.0694,17933606353.1775,19737615114.3661
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.9063,1781455092.07114,2032135246.50004,2235820867.82743,2333341374.89657,2451606684.31708,2705783272.07443,3104003611.42957,2639321161.41102,2712324133.79776,2660123597.70762,2576518846.39,2649671998.86192,2779813489.02447
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,539227277.626411,563090641.188898,620507562.099274,813260468.873834,924940272.389544,972241336.910099,1107571017.02452,1513040064.50412,1787968044.494,1697737296.24641,1663913071.40962,1865915544.12445,1741809808.96442,1850470042.43281,1859898513.26858,1596800287.16405,1663008687.09505,1769787215.42141,1966501117.61028,1981845740.70615,1703698676.69742,1936174043.45293
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,3654031716.26881,3984000517.02345,4284028482.53766,4658246918.27092,5337833248.03924,6293046161.83262,7274595706.67154,8639235842.18075,10351914093.1723,10401851850.6108,11242275198.9783,12829541141.0127,14054443213.4639,15227991395.2201,16702610842.4025,18049954289.4229,20016747754.0192,22177200511.5811,24571753583.4922,27089389786.979,25872798012.1938,26961061119.7957
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,10566578952.7857,10953485244.4239,12417251815.8801,15970315751.0277,18826215278.057,19509850837.2745,20910513974.6215,23928251333.7444,27715144580.2691,27932971683.4215,27507499709.071,30630912184.7789,30155064574.0734,33728622819.0912,36386546917.6861,32210232911.6626,33814337900.2831,36098550141.5897,39973839064.6084,39670977332.7348,40773241531.2395,45338283344.8175
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1552989690721.65,1374625142157.29,1617343367486.26,1793326630174.52,1828366481521.6,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725329192783.02,1742015045482.31,1645423407568.36,1988336331717.42
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,..,..,..,..,..,..,4200439457.5783,4466438857.5543,4586114124.56498,4281868714.74859,4156990759.63038,4186223808.95236,4291159006.36025,4405954638.18553,4563017880.71523,4708336733.46934,4909498979.9592,5166467298.69195,5530377535.1014,5943589103.56414,5608989199.56798,5898449687.97711
GDP (current US$),NY.GDP.MKTP.CD,Central African Republic,CAF,916777282.651168,932648595.838026,996068183.652841,1142315573.75494,1272360594.5333,1337894284.8516,1461859832.28999,1699811358.87423,1993408071.74888,2067381766.36117,2142591375.85053,2437982839.63072,2510126699.05356,1691544192.38242,1894813504.52945,1695825708.45604,1825018190.85071,2072349794.23301,2220978978.17342,2221301400.72468,2326720920.59223,2516498299.01212
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,1388506726.62093,1710843360.64955,1997005786.54118,2742815194.54993,4422855929.21428,6649307057.03314,7428701809.40597,8650138068.63161,10393834720.852,9290728773.35723,10668102734.8132,12172309522.6171,12367363677.6199,12953535495.8781,13940768065.6063,10950392219.9104,10097778353.7651,10000395242.1457,11239167048.4916,11314951342.7807,10715396135.4168,11779980801.7843
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,6439403014.0037,6233310060.38969,6663436031.24708,7332574115.57254,8553956571.09378,8827299477.20007,9676410337.59329,11515258634.0085,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,78249883995.6255,71517080040.6338,70294892400.0639,76507577234.5965,99079230169.6389,122314960843.922,153840051814.059,172565850839.158,179663403196.985,171412642047.328,217105420016.533,251224856981.294,267175872540.066,277239461340.404,259405202008.001,242496649874.236,249298719723.108,276364933679.626,295402652037.155,278584733103.01,252727193710.018,317058508651.76
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,1211346869605.24,1339395718865.3,1470550015081.55,1660287965662.68,1955347004963.27,2285965892360.54,2752131773355.16,3550342737010.84,4594307032660.79,5101703073086.04,6087163874512.21,7551500124203.36,8532229986993.65,9570406235659.64,10475682920594.5,11061553079876.4,11233276536737.2,12310409370892.8,13894817549374.2,14279937500606.5,14687673892882,17734062645371.4
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,99886577330.7271,98211749595.5442,97963003804.7851,94641378693.223,117081522349.677,145619193046.094,161618580752.946,206181823187.675,242186949772.533,232397835356.357,286563099757.482,334943877377.472,370921317942.564,382116120909.218,381112110485.385,293481753078.868,282825012368.255,311883730442.045,334198218100.719,323109540251.855,270299984937.97,314464137241.33
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,351136568.441921,378512003.405071,425964697.418664,546885184.990174,633706149.25026,653845122.872074,698431827.740958,795673128.485442,915659192.825112,905341090.570115,907978723.547592,1023086183.79822,1015843368.79008,1116224161.07781,1149587651.69395,966029542.038859,1012835518.26037,1077439662.5798,1188797574.94753,1195019559.09381,1225039230.74083,1296089632.60039
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,19088046305.7971,7438189100.33333,8728038525.14034,8937567059.87754,10297483481.223,11964484667.9102,14451902467.9315,16737071816.38,19788515873.8942,18648373312.4241,21565720044.4634,25839749198.8233,29306235826.3885,32679745297.6453,35909040265.9328,37917704900.0794,37134799974.5225,38019265625.8845,47568210068.5136,51775830725.8441,48716960860.0664,55350968593.0597
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,3227927697.43665,2796704577.3082,3034251042.07329,3503723244.83607,4656975222.72243,6650001213.82609,8072305415.35484,8782703766.99342,11649858744.3946,9723300390.77733,13148395201.8041,15655384440.3994,17692912613.1633,17958721571.7526,17912908765.9058,11890259136.1098,10219341276.8965,11094822713.3481,13670036996.0023,12750339022.9915,10483151175.8451,13366230219.5352
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,15013629658.6521,15976174336.9721,16578820687.2881,17271760506.9483,18610594846.2083,20040642476.9817,22715540324.3032,26884700345.0342,30801744881.0001,30745712006.5307,37658614803.2775,42762617081.6522,47231651862.8399,50949672205.9168,52016408950.8936,56441917652.9812,58847016044.7363,60516043590.1832,62420165099.7231,64417670082.6127,62158002233.0279,64282438666.739
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,16577533355.4395,16810536883.7177,18054384023.1093,21251755293.9537,23510577108.2304,24036917016.59,25281414472.9891,28760092034.4723,34078243426.009,33886814907.0346,34936305296.9689,36693712824.8232,36302305578.2487,42760237561.4396,48843008580.3288,45814637971.4745,47964234560.0514,51588158717.5348,58011466450.8643,58539424929.7248,61348579465.1017,70043191477.0454
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,21807856145.1037,23259567777.5327,27085262278.8634,35022903386.8064,42013459301.7962,45835098187.6637,50915016294.105,60641942979.2183,70943300079.4666,63324394633.9008,60672093864.787,63408294943.4855,57369359295.2829,59032066091.7147,58423981441.1801,50242783066.1173,52397494687.4863,56323836169.7177,62316840749.9705,62327983579.5899,57472012426.6853,68955083280.1922
